URL,Entered On,Sale Date,Winning Bid,Reserve / Bids,DISTILLERY,VINTAGE,REGION,BOTTLER,CASK TYPE,BOTTLED STRENGTH,BOTTLE SIZE,DISTILLERY STATUS,AGE,ABV (%),Volume (L),LOA (Litres of Alcohol),Reserve Met?,Where?
https://whiskyauctioneer.com/lot/1223-01/1-fettercairn-2008-1st-fill-amontillado-barrel-4647-cask-storage-whiskybroker,2025-04-14 00:00:00,2024-01-08 00:00:00,5500,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 6 BIDS,FETTERCAIRN,2008,HIGHLAND,STILL IN CASK,1ST FILL AMONTILLADO BARREL,54.8% AS OF 10/23,79.0496 RLA AS OF 10/23,OPERATIONAL,16,54.8,144.2510949,79.0496,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0821-06/1-teaninich-2010-1st-fill-amontillado-quarter-cask-706202-cask-storage-whiskybroker,2025-04-14 00:00:00,2021-09-06 00:00:00,4500,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 21 BIDS,TEANINICH,2010,HIGHLAND,STILL IN CASK,1ST FILL AMONTILLADO QUARTER CASK,59.4% AS OF 10/11/2020,99.0899 BULK LITRE AS OF 10/11/2020,OPERATIONAL,11,59.4,99.0899,58.8594006,No,WhiskyAuction
https://whiskyauctioneer.com/lot/5006133/1-holyrood-2021-1st-fill-bourbon-barrel-280-charity-lot,2025-04-14 00:00:00,2021-06-07 00:00:00,3300,(No reserve/bid info),HOLYROOD,2021,LOWLAND,STILL IN CASK,1ST FILL EX-BOURBON,60.5% AS OF 31/5/21,200.6 BULK LITRE AS 31/5/21,OPERATIONAL,0,60.5,200.6,121.363,No,WhiskyAuction
https://whiskyauctioneer.com/lot/5006134/1-holyrood-2021-1st-fill-bourbon-barrel-279-charity-lot,2025-04-14 00:00:00,2021-06-07 00:00:00,3100,(No reserve/bid info),HOLYROOD,2021,LOWLAND,STILL IN CASK,1ST FILL EX-BOURBON,60.5% AS OF 31/5/21,197.3 BULK LITRE AS 31/5/21,OPERATIONAL,0,60.5,197.3,119.3665,No,WhiskyAuction
https://whiskyauctioneer.com/lot/5006135/1-holyrood-2021-1st-fill-bourbon-barrel-278-charity-lot,2025-04-14 00:00:00,2021-06-07 00:00:00,3100,(No reserve/bid info),HOLYROOD,2021,LOWLAND,STILL IN CASK,1ST FILL EX-BOURBON,60.5% AS OF 31/5/21,200.1 BULK LITRE AS 31/5/21,OPERATIONAL,0,60.5,200.1,121.0605,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0122-07/1-tullibardine-2012-1st-fill-madeira-wine-barrique-6511382012-cask-storage-whiskybroker,2025-04-14 00:00:00,2022-02-07 00:00:00,4800,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 11 BIDS,TULLIBRADINE,2012,HIGHLAND,STILL IN CASK,1ST FILL MADEIRA WINE BARRIQUE,58.3% AS OF 11/21,108.2343 RLA AS OF 11/21,OPERATIONAL,10,58.3,185.6506003,108.2343,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/0222-02/1-fettercairn-2008-1st-fill-moscatel-barrique-46482008-cask-storage-whiskybroker,2025-04-14 00:00:00,2022-03-07 00:00:00,7100,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 10 BIDS,FETTERCAIRN,2008,HIGHLAND,STILL IN CASK,1ST FILL MOSCTAEL BARRIQUE,56.9% AS OF 11/21,85 RLA AS OF 11/21,OPERATIONAL,14,56.9,149.3848858,85,No,WhiskyAuction
https://whiskyauctioneer.com/lot/276856/1-springbank-1991-first-fill-oloroso-sherry-cask-411-cask-storage-whiskybroker,2025-04-14 00:00:00,2020-08-03 00:00:00,50600,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 14 BIDS,SPRINGBANK,1991,CAMPBELTOWN,STILL IN CASK,1ST FILL OLOROSO,50.2% AS OF 18/3/2020,114.9984 BULK LITRE AS OF 18/3/2020,OPERATIONAL,29,50.2,114.9984,57.7291968,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0322-05/1-craigellachie-2010-1st-fill-oloroso-barrique-900191-cask-storage-whiskybroker,2025-04-14 00:00:00,2022-04-04 00:00:00,10000,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 20 BIDS,CRAIGELLACHIE,2010,SPEYSIDE,STILL IN CASK,1ST FILL OLOROSO BARRIQUE,65.2% AS OF 17/02/2022,198.71 BULK LITRES AS OF 17/02/2022,OPERATIONAL,12,65.2,198.71,129.55892,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0422-02/1-fettercairn-2008-1st-fill-oloroso-barrique-46522008-cask-storage-whiskybroker,2025-04-14 00:00:00,2022-05-02 00:00:00,10000,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 30 BIDS,FETTERCAIRN,2008,HIGHLAND,STILL IN CASK,1ST FILL OLOROSO BARRIQUE,56.6% AS OF 3/22,83 RLA AS OF 3/22,OPERATIONAL,14,56.6,146.6431095,83,Yes,WhiskyAuction
